Query Number	Algorithm	Runtime	Coverage	TotalPath	Distance	Generations	Number Individual	Exceptions
62	MOTGA	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
63	MoeSQLmosa	49	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	4	273	
63	MOTGA	14	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	109	
64	MoeSQLmosa	9	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
64	MOTGA	5	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
65	MoeSQLmosa	28	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
65	MOTGA	15	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
66	MoeSQLmosa	11	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
66	MOTGA	9	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	61	
67	MoeSQLmosa	7	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
67	MOTGA	6	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
68	MoeSQLmosa	5	3	3	[0.0, 0.0, 0.0]	0	100	
68	MOTGA	1	3	3	[0.0, 0.0, 0.0]	0	24	
69	MoeSQLmosa	21	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
69	MOTGA	8	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
70	MoeSQLmosa	31	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
70	MOTGA	331	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 5.0]	2	198	
71	MoeSQLmosa	18	3	3	[0.0, 0.0, 0.0]	0	100	
71	MOTGA	4	3	3	[0.0, 0.0, 0.0]	0	24	
72	MoeSQLmosa	14	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
72	MOTGA	6	4	4	[0.0, 0.0, 0.0, 0.0]	0	46	
73	MoeSQLmosa	27	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
73	MOTGA	24	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	2	79	
74	MoeSQLmosa	54	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	2	192	
74	MOTGA	20	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	109	
75	MoeSQLmosa	13	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
75	MOTGA	8	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	73	
76	MoeSQLmosa	33	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
76	MOTGA	28	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	64	
77	MoeSQLmosa	24	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	148	
77	MOTGA	17	7	7	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	150	
78	MoeSQLmosa	14	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	1	145	
78	MOTGA	5	5	5	[0.0, 0.0, 0.0, 0.0, 0.0]	0	56	
79	MoeSQLmosa	9	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
79	MOTGA	6	4	4	[0.0, 0.0, 0.0, 0.0]	0	24	
80	MoeSQLmosa	10	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	100	
80	MOTGA	13	6	6	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0	109	
81	MoeSQLmosa	11	4	4	[0.0, 0.0, 0.0, 0.0]	0	100	
81	MOTGA	9	4	4	[0.0, 0.0, 0.0, 0.0]	0	36	
